"Отметка времени","Чи знаєте Ви про інсування здорових снеків/батончиків?","Як Ви їх сприймаєте?","Які з перелічених брендів Ви купуєте?","Ви вважаєте ціну на здорові снеки зависокою?","Де Ви найчастіше купуєте снеки?","Чи слідкуєте Ви за своїм харчуванням?","Чи займаєтесь Ви спортом?","Чи вистачає Вам часу для повноцінного харчування?","Ваша стать","Ваш вік ","У якому населеному пункті Ви проживаєте?","Ваш місячний рівень доходу"
"2019/10/30 9:59:38 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;EatMe","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 10:01:10 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Bakalland BA!;EatMe;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 10:02:25 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Lantmännen АХА;Bakalland BA!;EatMe","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Киев","<4 тис.грн."
"2019/10/30 10:02:28 PM GMT+2","Так","Як перекус","Fitness","Так","Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Житомир",""
"2019/10/30 10:03:25 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Bakalland BA!","Так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Жіноча","14-21 рік","київ","7-10 тис.грн."
"2019/10/30 10:04:53 PM GMT+2","Так","Як перекус","Fitness;EatMe","Ні","Заправки","Так","Так","Ні","Чоловіча","36-45 рік","Киев",">30 тис.грн."
"2019/10/30 10:05:58 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;EatMe","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","22-35 рік","Киев",">30 тис.грн."
"2019/10/30 10:06:05 PM GMT+2","Так","Як перекус","Fitness;EatMe","Скоріше ні","Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Чоловіча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 10:08:20 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Bakalland BA!","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Заправки","Так","Ні","Так","Жіноча","14-21 рік","Місто київ","<4 тис.грн."
"2019/10/30 10:12:02 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 10:13:49 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Lantmännen АХА;Bakalland BA!;EatMe","Не знаю","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Чоловіча","14-21 рік","Луцьк","<4 тис.грн."
"2019/10/30 10:14:03 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Так","Чоловіча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 10:17:12 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Fitness;Granola Energy;Tekmar;Bakalland BA!;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Мінімаркет (Фора, АТБ);Заправки;Кав`ярні","Так","Ні","Так","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 10:17:45 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 10:17:48 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;Bakalland BA!","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 10:22:30 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","22-35 рік","Киев",">30 тис.грн."
"2019/10/30 10:22:39 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Bakalland BA!","Скоріше ні","Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Жіноча","14-21 рік","","7-10 тис.грн."
"2019/10/30 10:23:13 PM GMT+2","Так","Практически не ем сладкое в любом виде, если есть желание раз в месяц могу перекусить.","Fitness;Cini Minis;Lantmännen АХА;Granola Energy;Tekmar;EatMe","Ні","Кав`ярні","Ні","Ні","Ні","Жіноча","14-21 рік","Киев","7-10 тис.грн."
"2019/10/30 10:23:42 PM GMT+2","Ні","","","","","","","","Жіноча","36-45 рік","Киев",">30 тис.грн."
"2019/10/30 10:24:38 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Lantmännen АХА;Tekmar;Bakalland BA!;EatMe","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/30 10:27:58 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 10:29:05 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Lantmännen АХА;Tekmar;Батончики Гранола","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Ні","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 10:32:17 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","EatMe;Fitto","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Чоловіча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 10:33:14 PM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Запоріжжя","10-20 тис.грн."
"2019/10/30 10:40:18 PM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe;Батончики Гранола","Ні","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 10:42:43 PM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА;Tekmar;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Жіноча","22-35 рік","Киев","10-20 тис.грн."
"2019/10/30 10:44:04 PM GMT+2","Так","Як перекус","Жодний з перелічених","Скоріше так","Короче у меня на кампусе в столовке","Так","Так","Так","Чоловіча","14-21 рік","Дублин",""
"2019/10/30 10:45:19 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 10:50:49 PM GMT+2","Так","Як перекус","Fitness;EatMe","Ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Кав`ярні","Ні","Так","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 10:54:13 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі)","Так","Ні","Так","Жіноча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 10:54:14 PM GMT+2","Так","Як перекус","EatMe;Батончики Гранола","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/30 10:56:18 PM GMT+2","Так","Як перекус","Granola Energy","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 10:59:17 PM GMT+2","Ні","","","","","","","","Інша","55+","ю",">30 тис.грн."
"2019/10/30 11:01:22 PM GMT+2","Так","Як перекус","Fitness;Bakalland BA!;Батончики Гранола","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 11:03:13 PM GMT+2","Так","Як перекус","Fitness;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Жіноча","22-35 рік","Київ","7-10 тис.грн."
"2019/10/30 11:08:08 PM GMT+2","Ні","","","","","","","","Жіноча","36-45 рік","Ірпінь","20-30 тис.грн"
"2019/10/30 11:15:29 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Кав`ярні","Ні","Ні","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/30 11:17:40 PM GMT+2","Так","Як перекус","Fitness;Granola Energy;Tekmar;Bakalland BA!;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Спеціалізовані магазини (Еко-лавка);Заправки","Ні","Так","Так","Чоловіча","14-21 рік","Київ",""
"2019/10/30 11:17:57 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;Bakalland BA!;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","22-35 рік","Київ","7-10 тис.грн."
"2019/10/30 11:18:50 PM GMT+2","Так","Як перекус","Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Чоловіча","14-21 рік","Київ","4-6 тис.грн."
"2019/10/30 11:19:57 PM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitness;Cini Minis;Lantmännen АХА;Granola Energy;Bakalland BA!;EatMe;Батончики Гранола","Так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Жіноча","22-35 рік","Киев","7-10 тис.грн."
"2019/10/30 11:22:43 PM GMT+2","Так","Як перекус","Bakalland BA!","Не знаю","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Жіноча","14-21 рік","",""
"2019/10/30 11:23:19 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Bakalland BA!;Жодний з перелічених","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","14-21 рік","Киев","4-6 тис.грн."
"2019/10/30 11:34:02 PM GMT+2","Ні","","","","","","","","Жіноча","46-55 рік","Київ",">30 тис.грн."
"2019/10/30 11:40:09 PM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Tekmar;EatMe","Так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Чоловіча","14-21 рік","Київ",""
"2019/10/30 11:40:38 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Lantmännen АХА","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Житомир",""
"2019/10/30 11:41:25 PM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Кав`ярні","Так","Ні","Ні","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 11:42:43 PM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/30 11:54:13 PM GMT+2","Ні","","","","","","","","Жіноча","14-21 рік","Київ","20-30 тис.грн"
"2019/10/30 11:55:05 PM GMT+2","Так","Як перекус","Fitness;Fitto","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Так","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 12:01:48 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Bakalland BA!;EatMe","Так","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Ні","Чоловіча","22-35 рік","Доха ","20-30 тис.грн"
"2019/10/31 12:13:48 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Bakalland BA!;EatMe;Батончики Гранола","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Так","Жіноча","14-21 рік","Закарпатська обл","7-10 тис.грн."
"2019/10/31 12:18:24 AM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","","<4 тис.грн."
"2019/10/31 12:28:20 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Чоловіча","22-35 рік","Київ","7-10 тис.грн."
"2019/10/31 12:40:39 AM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Киев","20-30 тис.грн"
"2019/10/31 1:01:50 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;Bakalland BA!;EatMe","Ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Ні","Так","Жіноча","22-35 рік","Запоріжжя",""
"2019/10/31 1:18:40 AM GMT+2","Ні","","","","","","","","Чоловіча","22-35 рік","Киев",">30 тис.грн."
"2019/10/31 1:31:51 AM GMT+2","Так","Як перекус","Fitness;Tekmar;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Кав`ярні","Так","Ні","Ні","Жіноча","36-45 рік","Kiyv","7-10 тис.грн."
"2019/10/31 1:36:11 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Granola Energy;Tekmar","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Інша","14-21 рік","Киев","<4 тис.грн."
"2019/10/31 1:43:52 AM GMT+2","Так","Як перекус","Tekmar;EatMe","Так","Кіоск;Спеціалізовані магазини (Еко-лавка);Аптека","Так","Так","Так","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/31 1:55:14 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Granola Energy;Tekmar;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Кав`ярні","Так","Так","Так","Жіноча","22-35 рік","Киïв","<4 тис.грн."
"2019/10/31 2:47:20 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;Fitto","Ні","Спеціалізовані магазини (Еко-лавка)","Так","Так","Так","Чоловіча","14-21 рік","Киев ","20-30 тис.грн"
"2019/10/31 4:48:18 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Granola Energy;Tekmar;EatMe","Не знаю","","Так","Ні","Так","Жіноча","36-45 рік","Киев","10-20 тис.грн."
"2019/10/31 4:57:38 AM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Киев","10-20 тис.грн."
"2019/10/31 7:15:36 AM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Скоріше ні","Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","22-35 рік","Київ","10-20 тис.грн."
"2019/10/31 7:46:03 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Fitness;Lantmännen АХА;Tekmar;Bakalland BA!;EatMe;Батончики Гранола","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Спеціалізовані магазини (Еко-лавка)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/31 7:58:24 AM GMT+2","Ні","","","","","","","","Чоловіча","46-55 рік","Київ","20-30 тис.грн"
"2019/10/31 8:42:54 AM GMT+2","Так","Як перекус","Fitness;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Так","Чоловіча","22-35 рік","Київ","20-30 тис.грн"
"2019/10/31 8:43:05 AM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Кав`ярні","Так","Так","Ні","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/31 8:51:06 AM GMT+2","Так","Як перекус","Fitness;EatMe","Так","","Так","Так","Так","Чоловіча","14-21 рік","",""
"2019/10/31 9:02:17 AM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Kyiv","<4 тис.грн."
"2019/10/31 9:03:14 AM GMT+2","Так","Як перекус","Lantmännen АХА;Bakalland BA!","Так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","36-45 рік","Київ",""
"2019/10/31 9:20:24 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Tekmar;Bakalland BA!;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 9:20:53 AM GMT+2","Так","Як перекус;Як джерело корисних елементів","Lantmännen АХА;Bakalland BA!","Так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Так","Так","Чоловіча","14-21 рік","Kyiv","20-30 тис.грн"
"2019/10/31 9:28:46 AM GMT+2","Так","Як перекус","Lantmännen АХА;Bakalland BA!;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Так","Чоловіча","14-21 рік","Киев","<4 тис.грн."
"2019/10/31 9:29:20 AM GMT+2","Так","Як перекус","Fitness;EatMe;Батончики Гранола","Скоріше ні","Спеціалізовані магазини (Еко-лавка);Кав`ярні","Ні","Так","Ні","Жіноча","14-21 рік","",""
"2019/10/31 9:39:30 AM GMT+2","Ні","","","","","","","","Чоловіча","14-21 рік","Рівне","7-10 тис.грн."
"2019/10/31 9:46:54 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше ні","Спеціалізовані магазини (Еко-лавка);Кав`ярні","Ні","Так","Ні","Жіноча","46-55 рік","Київ",">30 тис.грн."
"2019/10/31 9:50:18 AM GMT+2","Так","Як перекус","Fitness;Cini Minis","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Так","Чоловіча","14-21 рік","","4-6 тис.грн."
"2019/10/31 9:51:44 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Tekmar;EatMe","Скоріше так","Интернет-магазин","Так","Ні","Ні","Жіноча","36-45 рік","Киев","10-20 тис.грн."
"2019/10/31 9:52:02 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Tekmar;Bakalland BA!","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/31 9:52:16 AM GMT+2","Так","Як перекус","Bakalland BA!;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 9:59:20 AM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Так","Жіноча","14-21 рік","Харків","<4 тис.грн."
"2019/10/31 9:59:26 AM GMT+2","Так","Як перекус","Fitness;Tekmar;EatMe;Fitto","Так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Жіноча","14-21 рік","","<4 тис.грн."
"2019/10/31 9:59:30 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Cini Minis;Fitto","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ ","4-6 тис.грн."
"2019/10/31 10:00:39 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Tekmar;EatMe","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Жіноча","14-21 рік","Вроцлав/Днепр","10-20 тис.грн."
"2019/10/31 10:01:42 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Cini Minis","Ні","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Жіноча","14-21 рік","Львів","10-20 тис.грн."
"2019/10/31 10:06:09 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Fitto","Скоріше ні","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Киев ","<4 тис.грн."
"2019/10/31 10:08:11 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Bakalland BA!","Так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Чоловіча","22-35 рік","київ",">30 тис.грн."
"2019/10/31 10:13:14 AM GMT+2","Так","Як перекус;Як джерело корисних елементів","Fitto","Так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Чоловіча","14-21 рік","Киев","7-10 тис.грн."
"2019/10/31 10:14:34 AM GMT+2","Так","Як перекус","Fitness;Батончики Гранола","Ні","Супермаркет (Сільпо, Білла, Варус)","Ні","Так","Так","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 10:14:47 AM GMT+2","Так","Як перекус","Жодний з перелічених","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 10:18:14 AM GMT+2","Так","Як солодощі/альтернатива солодощам","EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Ні","Чоловіча","22-35 рік","Киев","4-6 тис.грн."
"2019/10/31 10:18:31 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Granola Energy","Так","Супермаркет (Сільпо, Білла, Варус)","Так","Так","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 10:23:11 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Як джерело корисних елементів","Fitness;Lantmännen АХА;Tekmar;Bakalland BA!;EatMe;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Спеціалізовані магазини (Еко-лавка)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","7-10 тис.грн."
"2019/10/31 10:32:45 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам;Позитивно, їм в АТБ","Жодний з перелічених","Скоріше так","Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Чоловіча","14-21 рік","Кийв","20-30 тис.грн"
"2019/10/31 10:41:18 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Lantmännen АХА;Bakalland BA!;EatMe","Скоріше ні","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Жіноча","14-21 рік","","<4 тис.грн."
"2019/10/31 10:44:12 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Tekmar","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Жіноча","14-21 рік","",""
"2019/10/31 10:48:30 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Lantmännen АХА;Bakalland BA!","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","10-20 тис.грн."
"2019/10/31 11:13:42 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Супермаркет (Сільпо, Білла, Варус)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 11:15:20 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 11:16:35 AM GMT+2","Так","Як перекус","Fitness;Lantmännen АХА;Granola Energy;Tekmar;Bakalland BA!;Батончики Гранола","Ні","Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка);Заправки;Кав`ярні","Так","Так","Так","Жіноча","46-55 рік","Київ","4-6 тис.грн."
"2019/10/31 11:20:36 AM GMT+2","Так","Як перекус;Як солодощі/альтернатива солодощам","Fitness;Bakalland BA!;EatMe","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Так","Ні","Чоловіча","14-21 рік","Київ","<4 тис.грн."
"2019/10/31 11:26:04 AM GMT+2","Так","Як джерело корисних елементів","Granola Energy;Bakalland BA!;Батончики Гранола","Скоріше так","Супермаркет (Сільпо, Білла, Варус);Спеціалізовані магазини (Еко-лавка);Заправки","Так","Ні","Ні","Жіноча","14-21 рік","Киев",">30 тис.грн."
"2019/10/31 11:29:07 AM GMT+2","Так","Як перекус","Жодний з перелічених","Так","Супермаркет (Сільпо, Білла, Варус)","Так","Ні","Ні","Чоловіча","55+","","10-20 тис.грн."
"2019/10/31 11:31:56 AM GMT+2","Так","Як перекус","Fitness;Cini Minis;Tekmar;Bakalland BA!","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Так","Так","Так","Жіноча","14-21 рік","Місто","<4 тис.грн."
"2019/10/31 11:35:05 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА;Bakalland BA!;EatMe","Так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ);Кіоск","Так","Так","Так","Жіноча","14-21 рік","Киев","<4 тис.грн."
"2019/10/31 11:35:51 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Жодний з перелічених","Не знаю","Рідко купую, але якщо купую, то це ситуативно – різн магазини","Ні","Так","Так","Чоловіча","22-35 рік","Київ","20-30 тис.грн"
"2019/10/31 11:50:51 AM GMT+2","Так","Як солодощі/альтернатива солодощам","Fitness;Lantmännen АХА","Скоріше так","Гіпермаркет (Ашан, Метро, Фоззі);Супермаркет (Сільпо, Білла, Варус);Мінімаркет (Фора, АТБ)","Ні","Ні","Ні","Жіноча","14-21 рік","в жопе","10-20 тис.грн."
